FID,Province,WeekEnding,TotalCases,WeeklyCases,TotalDeaths,WeeklyDeaths,TotalHospitalized,WeeklyHospitalized,TotalICU,WeeklyICU
763,MB,2020/11/06 05:00:00+00,7419,2045,96,31,161,57,20,1
764,NB,2020/11/06 05:00:00+00,350,8,6,0,3,-1,0,0
765,NL,2020/11/06 05:00:00+00,294,3,4,0,0,0,,
766,NS,2020/11/06 05:00:00+00,1121,17,65,0,0,0,0,0
767,NT,2020/11/06 05:00:00+00,10,0,0,0,,,,
768,NU,2020/11/06 05:00:00+00,1,1,0,0,,,,
769,ON,2020/11/06 05:00:00+00,81693,6978,3209,82,380,66,86,11
770,PE,2020/11/06 05:00:00+00,64,0,0,0,0,0,0,0
771,QC,2020/11/06 05:00:00+00,112189,7237,6403,172,539,24,77,-4
772,SK,2020/11/06 05:00:00+00,3623,557,25,0,33,11,4,-2
773,YT,2020/11/06 05:00:00+00,23,0,1,0,,,,
774,CA,2020/11/06 05:00:00+00,255807,23808,10436,326,1391,110,248,17
775,AB,2020/11/13 05:00:00+00,37312,5454,398,46,240,69,54,21
776,BC,2020/11/13 05:00:00+00,20985,3836,290,15,167,63,50,22
777,MB,2020/11/13 05:00:00+00,10216,2797,137,41,231,70,34,14
778,NB,2020/11/13 05:00:00+00,358,8,6,0,1,-2,1,1
779,NL,2020/11/13 05:00:00+00,299,5,4,0,0,0,,
780,NS,2020/11/13 05:00:00+00,1136,15,65,0,0,0,0,0
781,NT,2020/11/13 05:00:00+00,15,5,0,0,,,,
782,NU,2020/11/13 05:00:00+00,4,3,0,0,,,,
783,ON,2020/11/13 05:00:00+00,91180,9487,3312,103,452,72,106,20
784,PE,2020/11/13 05:00:00+00,68,4,0,0,0,0,0,0
785,QC,2020/11/13 05:00:00+00,121195,9006,6586,183,583,44,85,8
786,SK,2020/11/13 05:00:00+00,4513,890,29,4,53,20,15,11
787,YT,2020/11/13 05:00:00+00,24,1,1,0,,,,
788,CA,2020/11/13 05:00:00+00,287318,31511,10828,392,1727,336,345,97
789,AB,2020/11/20 05:00:00+00,43952,6640,462,64,310,70,58,4
790,BC,2020/11/20 05:00:00+00,25172,4187,331,41,227,60,57,7
791,MB,2020/11/20 05:00:00+00,12919,2703,207,70,281,50,43,9
792,NB,2020/11/20 05:00:00+00,401,43,6,0,1,0,0,-1
793,NL,2020/11/20 05:00:00+00,308,9,4,0,2,2,,
794,NS,2020/11/20 05:00:00+00,1160,24,65,0,0,0,0,0
795,NT,2020/11/20 05:00:00+00,15,0,0,0,,,,
796,NU,2020/11/20 05:00:00+00,84,80,0,0,,,,
797,ON,2020/11/20 05:00:00+00,100790,9610,3451,139,518,66,142,36
798,PE,2020/11/20 05:00:00+00,68,0,0,0,0,0,0,0
799,QC,2020/11/20 05:00:00+00,129699,8504,6774,188,624,41,96,11
800,SK,2020/11/20 05:00:00+00,5804,1291,33,4,85,32,19,4
801,NT,2021/06/11 03:59:59+00,128,0,0,0,,,,
802,NU,2021/06/11 03:59:59+00,654,5,4,0,,,,
803,AB,2021/07/09 03:59:59+00,232411,314,2307,6,126,-18,35,2
804,ON,2021/06/11 03:59:59+00,538651,3976,8935,115,489,-198,440,83
805,PE,2021/06/11 03:59:59+00,206,0,0,0,0,0,0,0
806,BC,2021/07/09 03:59:59+00,148031,326,1760,4,73,-26,19,-11
807,QC,2021/06/11 03:59:59+00,372656,1295,11167,19,244,-63,59,-8
808,MB,2021/07/09 03:59:59+00,56739,433,1160,13,52,-14,14,-3
809,SK,2021/06/11 03:59:59+00,47764,578,554,11,104,3,17,-4
810,QC,2021/03/26 03:59:59+00,306385,5469,10637,50,481,-23,115,16
811,NB,2021/07/09 03:59:59+00,2336,0,46,1,2,-3,0,0
812,YT,2021/06/11 03:59:59+00,96,12,2,0,,,,
813,NL,2021/07/09 03:59:59+00,1402,15,7,0,0,0,,
814,SK,2021/03/26 03:59:59+00,32559,1300,430,16,155,22,24,-3
815,CA,2021/06/11 03:59:59+00,1399716,10208,25886,207,1506,-426,693,29
816,NS,2021/07/09 03:59:59+00,5865,23,92,0,2,-1,1,1
817,YT,2021/03/26 03:59:59+00,73,1,1,0,,,,
818,AB,2021/06/18 03:59:59+00,231132,1013,2283,18,237,-59,58,-21
819,NT,2021/07/09 03:59:59+00,128,0,0,0,,,,
820,CA,2021/03/26 03:59:59+00,956656,29591,22826,209,2189,165,650,72
821,BC,2021/06/18 03:59:59+00,146902,726,1740,10,128,-34,48,3
822,NU,2021/07/09 03:59:59+00,657,0,4,0,,,,
823,ON,2021/07/30 03:59:59+00,550178,1192,9339,31,108,-29,117,-19
824,AB,2021/04/02 03:59:59+00,149207,4179,1994,15,292,8,59,0
825,MB,2021/06/18 03:59:59+00,55098,1226,1115,26,143,-54,37,-8
