FID,Province,WeekEnding,TotalCases,WeeklyCases,TotalDeaths,WeeklyDeaths,TotalHospitalized,WeeklyHospitalized,TotalICU,WeeklyICU
1042,QC,2021/07/23 03:59:59+00,376530,338,11239,4,67,-17,21,-4
1043,CA,2021/05/28 03:59:59+00,1374275,22154,25440,278,2633,-489,1058,-152
1044,BC,2021/03/19 03:59:59+00,90786,3919,1421,24,292,37,85,18
1045,AB,2021/09/03 03:59:59+00,256985,8031,2390,26,515,179,118,44
1046,NB,2021/04/16 03:59:59+00,1767,73,33,1,20,1,12,-1
1047,SK,2021/07/23 03:59:59+00,49608,246,577,2,64,11,10,1
1048,AB,2021/06/04 03:59:59+00,228668,2219,2243,37,379,-138,108,-39
1049,MB,2021/03/19 03:59:59+00,33176,569,919,7,58,4,10,0
1050,BC,2021/09/03 03:59:59+00,168325,4765,1827,20,215,56,118,34
1051,NL,2021/04/16 03:59:59+00,1039,14,6,0,1,1,,
1052,YT,2021/07/23 03:59:59+00,551,49,6,0,,,,
1053,BC,2021/06/04 03:59:59+00,145049,1468,1710,18,224,-68,59,-20
1054,NB,2021/03/19 03:59:59+00,1486,21,30,0,1,0,0,0
1055,MB,2021/09/03 03:59:59+00,58845,339,1192,3,23,4,2,-3
1056,NS,2021/04/16 03:59:59+00,1792,36,67,1,3,2,0,0
1057,CA,2021/07/23 03:59:59+00,1425711,3065,26539,50,428,-78,218,-24
1058,MB,2021/06/04 03:59:59+00,52261,2117,1071,29,207,-31,42,-7
1059,NL,2021/03/19 03:59:59+00,1014,2,6,0,1,-2,,
1060,NB,2021/09/03 03:59:59+00,2798,77,46,0,3,0,2,2
1061,NT,2021/04/16 03:59:59+00,49,0,0,0,,,,
1062,AB,2021/07/30 03:59:59+00,234295,1135,2328,6,90,6,19,-7
1063,NB,2021/06/04 03:59:59+00,2253,72,44,1,5,-2,2,-1
1064,NL,2021/04/23 03:59:59+00,1053,14,6,0,0,-1,,
1065,NS,2021/03/19 03:59:59+00,1680,14,66,1,0,-1,0,0
1066,NL,2021/09/03 03:59:59+00,1491,22,7,0,0,0,,
1067,NU,2021/04/16 03:59:59+00,408,13,4,0,,,,
1068,ON,2021/04/16 03:59:59+00,408383,30044,7664,152,1955,463,701,182
1069,PE,2021/04/16 03:59:59+00,165,5,0,0,0,0,0,0
1070,QC,2021/04/16 03:59:59+00,334071,10977,10785,59,664,95,167,33
1071,SK,2021/04/16 03:59:59+00,37615,1867,462,9,190,-16,44,1
1072,YT,2021/04/16 03:59:59+00,76,2,1,0,,,,
1073,CA,2021/04/16 03:59:59+00,1106066,60784,23541,290,3741,733,1161,253
1074,AB,2021/04/23 03:59:59+00,178777,10984,2059,25,549,126,125,32
1075,BC,2021/04/23 03:59:59+00,123758,6678,1554,24,486,61,160,33
1076,MB,2021/04/23 03:59:59+00,37069,1254,964,9,73,13,21,4
1077,NB,2021/04/23 03:59:59+00,1839,72,34,1,13,-7,5,-7
1078,NT,2021/03/19 03:59:59+00,47,0,0,0,,,,
1079,NS,2021/04/23 03:59:59+00,1938,146,67,0,4,1,0,0
1080,NL,2021/06/04 03:59:59+00,1342,49,6,0,1,-4,,
1081,BC,2021/07/30 03:59:59+00,149889,1047,1771,4,47,1,16,-1
1082,NS,2021/09/03 03:59:59+00,6047,48,94,0,0,0,0,0
1083,NU,2021/03/19 03:59:59+00,395,14,4,3,,,,
1084,NT,2021/04/23 03:59:59+00,54,5,0,0,,,,
1085,NS,2021/06/04 03:59:59+00,5633,136,88,8,21,-32,8,-10
1086,MB,2021/07/30 03:59:59+00,57593,234,1178,8,34,6,9,1
1087,NT,2021/09/03 03:59:59+00,486,91,1,0,,,,
1088,ON,2021/03/19 03:59:59+00,325254,10363,7212,85,759,83,309,27
1089,NU,2021/04/23 03:59:59+00,441,33,4,0,,,,
1090,NT,2021/06/04 03:59:59+00,128,1,0,0,,,,
1091,NB,2021/07/30 03:59:59+00,2365,15,46,0,0,0,0,0
1092,NU,2021/09/03 03:59:59+00,658,1,4,0,,,,
1093,PE,2021/03/19 03:59:59+00,144,1,0,0,0,0,0,0
1094,ON,2021/04/23 03:59:59+00,437310,28927,7863,199,2287,332,818,117
1095,NU,2021/06/04 03:59:59+00,649,1,4,0,,,,
1096,NL,2021/07/30 03:59:59+00,1437,0,7,0,2,0,,
1097,ON,2021/09/03 03:59:59+00,567878,5122,9536,47,326,20,169,11
1098,QC,2021/03/19 03:59:59+00,300916,4773,10587,61,504,-46,99,-7
1099,PE,2021/04/23 03:59:59+00,175,10,0,0,0,0,0,0
1100,ON,2021/06/04 03:59:59+00,534675,6222,8820,109,687,-336,357,-288
1101,NS,2021/07/30 03:59:59+00,5887,5,93,0,1,1,1,1
1102,PE,2021/09/03 03:59:59+00,233,3,0,0,0,0,0,0
1103,SK,2021/03/19 03:59:59+00,31259,890,414,10,133,4,27,0
1104,QC,2021/04/23 03:59:59+00,342688,8617,10860,75,684,20,172,5
1105,PE,2021/06/04 03:59:59+00,206,4,0,0,0,0,0,0
1106,NT,2021/07/30 03:59:59+00,128,0,0,0,,,,
1107,QC,2021/09/03 03:59:59+00,391363,4133,11291,6,147,21,49,13
1108,YT,2021/03/19 03:59:59+00,72,0,1,0,,,,
1109,SK,2021/04/23 03:59:59+00,39392,1777,471,9,186,-4,52,8
1110,QC,2021/06/04 03:59:59+00,371361,2043,11148,30,307,-78,67,-24
1111,NU,2021/07/30 03:59:59+00,657,0,4,0,,,,
1112,SK,2021/09/03 03:59:59+00,55396,2134,610,14,135,38,23,1
1113,CA,2021/03/19 03:59:59+00,927065,23827,22617,213,2024,98,578,48
1114,YT,2021/04/23 03:59:59+00,80,4,1,0,,,,
1115,SK,2021/06/04 03:59:59+00,47186,901,543,7,101,-12,21,-5
1116,YT,2021/09/03 03:59:59+00,694,37,8,0,,,,
1117,AB,2021/03/26 03:59:59+00,145028,4205,1979,22,284,8,59,11
1118,CA,2021/04/23 03:59:59+00,1164587,58521,23883,342,4282,541,1353,192
1119,YT,2021/06/04 03:59:59+00,84,0,2,0,,,,
1120,CA,2021/09/03 03:59:59+00,1511212,24776,27006,116,1364,318,481,102
1121,BC,2021/03/26 03:59:59+00,95677,4891,1449,28,294,2,81,-4
1122,AB,2021/04/30 03:59:59+00,190734,11957,2082,37,649,100,152,27
1123,CA,2021/06/04 03:59:59+00,1389508,15233,25679,239,1932,-701,664,-394
1124,AB,2021/09/10 03:59:59+00,266037,9052,2444,54,686,171,169,51
1125,MB,2021/03/26 03:59:59+00,33810,634,932,13,58,0,12,2
1126,BC,2021/04/30 03:59:59+00,129482,5724,1581,27,511,25,174,14
1127,AB,2021/06/11 03:59:59+00,230119,1451,2265,22,296,-83,79,-29
1128,BC,2021/09/10 03:59:59+00,173158,4833,1856,29,281,66,135,17
1129,NB,2021/03/26 03:59:59+00,1559,73,30,0,4,3,0,0
1130,MB,2021/04/30 03:59:59+00,38729,1660,974,10,87,14,24,3
1131,BC,2021/06/11 03:59:59+00,146176,1127,1730,20,162,-62,45,-14
1132,MB,2021/09/10 03:59:59+00,59203,358,1200,8,36,13,9,7
1133,NL,2021/03/26 03:59:59+00,1015,1,6,0,0,-1,,
1134,NB,2021/04/30 03:59:59+00,1915,76,36,2,4,-9,2,-3
1135,MB,2021/06/11 03:59:59+00,53872,1611,1089,18,197,-10,45,3
1136,NB,2021/09/10 03:59:59+00,2909,111,47,1,6,3,3,1
1137,NS,2021/03/26 03:59:59+00,1704,24,66,0,0,0,0,0
1138,NL,2021/04/30 03:59:59+00,1076,23,6,0,2,2,,
1139,NB,2021/06/11 03:59:59+00,2284,31,44,0,4,-1,2,0
1140,NL,2021/09/10 03:59:59+00,1532,41,7,0,1,1,,
1141,NT,2021/03/26 03:59:59+00,47,0,0,0,,,,
1142,NS,2021/04/30 03:59:59+00,2427,489,67,0,22,18,5,5
1143,NL,2021/06/11 03:59:59+00,1368,26,7,1,0,-1,,
1144,NS,2021/09/10 03:59:59+00,6117,70,94,0,1,1,0,0
1145,NU,2021/03/26 03:59:59+00,395,0,4,0,,,,
1146,NT,2021/04/30 03:59:59+00,57,3,0,0,,,,
1147,NS,2021/06/11 03:59:59+00,5729,96,89,1,10,-11,6,-2
1148,NT,2021/09/10 03:59:59+00,591,105,1,0,,,,
1149,ON,2021/03/26 03:59:59+00,338239,12985,7292,80,913,154,359,50
1150,NU,2021/04/30 03:59:59+00,501,60,4,0,,,,
1151,NU,2021/09/10 03:59:59+00,658,0,4,0,,,,
1152,PE,2021/03/26 03:59:59+00,152,8,0,0,0,0,0,0
1153,ON,2021/04/30 03:59:59+00,463364,26054,8050,187,2201,-86,883,65
1154,ON,2021/09/10 03:59:59+00,572978,5100,9590,54,361,35,177,8
1155,PE,2021/04/30 03:59:59+00,177,2,0,0,0,0,0,0
1156,PE,2021/09/10 03:59:59+00,240,7,0,0,0,0,0,0
1157,QC,2021/04/30 03:59:59+00,349773,7085,10926,66,592,-92,164,-8
1158,QC,2021/09/10 03:59:59+00,396034,4671,11301,10,207,60,72,23
1159,SK,2021/04/30 03:59:59+00,41098,1706,491,20,173,-13,37,-15
1160,SK,2021/09/10 03:59:59+00,57952,2556,617,7,190,55,39,16
1161,YT,2021/04/30 03:59:59+00,81,1,2,1,,,,
1162,YT,2021/09/10 03:59:59+00,701,7,9,1,,,,
1163,CA,2021/04/30 03:59:59+00,1219427,54840,24219,350,4241,-41,1441,88
1164,CA,2021/09/10 03:59:59+00,1538123,26911,27170,164,1769,405,604,123
1165,AB,2021/05/07 03:59:59+00,205115,14381,2106,24,659,10,150,-2
1166,AB,2021/09/17 03:59:59+00,277558,11521,2523,79,911,225,215,46
1167,BC,2021/05/07 03:59:59+00,134341,4859,1602,21,445,-66,157,-17
1168,BC,2021/09/17 03:59:59+00,177954,4796,1888,32,298,17,136,1
1169,MB,2021/05/07 03:59:59+00,40940,2211,987,13,137,50,44,20
1170,NB,2021/05/07 03:59:59+00,1988,73,40,4,8,4,2,0
1171,NL,2021/05/07 03:59:59+00,1127,51,6,0,0,-2,,
1172,NS,2021/05/07 03:59:59+00,3591,1164,70,3,50,28,9,4
1173,NT,2021/05/07 03:59:59+00,105,48,0,0,,,,
1174,NU,2021/05/07 03:59:59+00,553,52,4,0,,,,
1175,ON,2021/05/07 03:59:59+00,486223,22859,8236,186,1924,-277,858,-25
1176,PE,2021/05/07 03:59:59+00,186,9,0,0,0,0,0,0
1177,QC,2021/05/07 03:59:59+00,356216,6443,10974,48,574,-18,139,-25
1178,SK,2021/05/07 03:59:59+00,42695,1597,502,11,174,1,38,1
1179,YT,2021/05/07 03:59:59+00,82,1,2,0,,,,
1180,CA,2021/05/07 03:59:59+00,1273175,53748,24529,310,3971,-270,1397,-44
1181,BC,2021/05/14 03:59:59+00,138304,3963,1634,32,387,-58,141,-16
1182,AB,2021/05/14 03:59:59+00,216626,11511,2137,31,713,54,177,27
1183,SK,2021/05/14 03:59:59+00,44159,1464,515,13,149,-25,34,-4
1184,MB,2021/05/14 03:59:59+00,44189,3249,1002,15,179,42,50,6
1185,ON,2021/05/14 03:59:59+00,504533,18310,8431,195,1582,-342,777,-81
1186,QC,2021/05/14 03:59:59+00,361820,5604,11025,51,530,-44,123,-16
1187,NB,2021/05/14 03:59:59+00,2045,57,41,1,10,2,3,1
1188,NS,2021/05/14 03:59:59+00,4524,933,72,2,89,39,21,12
1189,PE,2021/05/14 03:59:59+00,190,4,0,0,0,0,0,0
1190,NL,2021/05/14 03:59:59+00,1179,52,6,0,0,0,,
1191,YT,2021/05/14 03:59:59+00,84,2,2,0,,,,
1192,NT,2021/05/14 03:59:59+00,121,16,0,0,,,,
1193,MB,2021/09/17 03:59:59+00,59612,409,1204,4,37,1,7,-2
1194,NB,2021/09/17 03:59:59+00,3237,328,48,1,17,11,10,7
1195,NL,2021/09/17 03:59:59+00,1555,23,7,0,0,-1,,
1196,NS,2021/09/17 03:59:59+00,6312,195,94,0,6,5,0,0
1197,NT,2021/09/17 03:59:59+00,749,158,1,0,,,,
1198,NU,2021/09/17 03:59:59+00,659,1,4,0,,,,
1199,ON,2021/09/17 03:59:59+00,578048,5070,9637,47,336,-25,194,17
1200,PE,2021/09/17 03:59:59+00,270,30,0,0,0,0,0,0
1201,ON,2022/01/21 05:00:00+00,984359,57455,10865,343,4114,300,590,63
1202,PE,2022/01/21 05:00:00+00,5628,1767,4,2,8,1,1,0
1203,QC,2022/01/21 05:00:00+00,824942,41840,12698,505,3351,266,265,-10
1204,SK,2022/01/21 05:00:00+00,106328,8783,969,8,215,84,23,15
1205,YT,2022/01/21 05:00:00+00,2849,211,16,1,,,,
1206,CA,2022/01/21 05:00:00+00,2892021,171610,32380,1057,10626,1472,1187,136
1207,AB,2022/01/28 05:00:00+00,487436,20820,3531,102,1496,305,105,-2
1208,BC,2022/01/28 05:00:00+00,320540,12461,2597,68,990,66,141,11
1209,MB,2022/01/28 05:00:00+00,118862,4841,1543,51,606,20,46,2
1210,NB,2022/01/28 05:00:00+00,28045,3042,228,27,135,10,16,2
1211,NL,2022/01/28 05:00:00+00,16758,2236,38,8,20,2,,
1212,NS,2022/01/28 05:00:00+00,35870,2186,142,14,88,-6,15,2
1213,NT,2022/01/28 05:00:00+00,5614,934,15,1,,,,
1214,NU,2022/01/28 05:00:00+00,1585,288,5,0,,,,
1215,ON,2022/01/28 05:00:00+00,1021436,37077,11298,433,3535,-579,607,17
1216,PE,2022/01/28 05:00:00+00,7274,1646,9,5,17,9,2,1
1217,QC,2022/01/28 05:00:00+00,853120,28178,13113,415,3091,-260,228,-37
1218,SK,2022/01/28 05:00:00+00,115405,9077,987,18,342,127,34,11
1219,YT,2022/01/28 05:00:00+00,3061,212,16,0,,,,
1220,CA,2022/01/28 05:00:00+00,3015019,122998,33522,1142,10320,-306,1194,7
1221,AB,2022/02/04 05:00:00+00,503433,15997,3634,103,1584,88,118,13
1222,BC,2022/02/04 05:00:00+00,330638,10098,2675,78,946,-44,139,-2
1223,MB,2022/02/04 05:00:00+00,122632,3770,1585,42,517,-89,39,-7
1224,NB,2022/02/04 05:00:00+00,30306,2261,252,24,163,28,17,1
1225,NL,2022/02/04 05:00:00+00,18242,1484,45,7,20,0,,
1226,NS,2022/02/04 05:00:00+00,37790,1920,158,16,99,11,15,0
1227,NT,2022/02/04 05:00:00+00,6550,936,17,2,,,,
1228,NU,2022/02/04 05:00:00+00,1935,350,5,0,,,,
1229,ON,2022/02/04 05:00:00+00,1047970,26534,11711,413,2634,-901,517,-90
1230,PE,2022/02/04 05:00:00+00,8764,1490,12,3,10,-7,1,-1
1231,QC,2022/02/04 05:00:00+00,875429,22309,13420,307,2541,-550,184,-44
1232,SK,2022/02/04 05:00:00+00,121516,6111,1005,18,363,21,34,0
1233,YT,2022/02/04 05:00:00+00,3186,125,18,2,,,,
1234,CA,2022/02/04 05:00:00+00,3108404,93385,34537,1015,8877,-1443,1064,-114
1235,AB,2022/02/11 05:00:00+00,514165,10732,3741,107,1566,-18,127,9
1236,BC,2022/02/11 05:00:00+00,338585,7947,2747,72,846,-100,136,-3
1237,MB,2022/02/11 05:00:00+00,125844,3212,1619,34,408,-109,27,-12
1238,QC,2021/09/17 03:59:59+00,401462,5428,11318,17,262,55,95,23
1239,NB,2022/02/11 05:00:00+00,32307,2001,282,30,135,-28,13,-4
1240,NL,2022/02/11 05:00:00+00,19710,1468,52,7,22,2,,
1241,NS,2022/02/11 05:00:00+00,40172,2382,167,9,82,-17,11,-4
1242,YT,2021/11/05 03:59:59+00,1017,96,10,0,,,,
1243,NT,2022/02/11 05:00:00+00,7343,793,17,0,,,,
1244,SK,2021/09/17 03:59:59+00,61065,3113,637,20,233,43,50,11
1245,NU,2022/02/11 05:00:00+00,2114,179,5,0,,,,
1246,CA,2021/11/05 03:59:59+00,1727707,15571,29132,180,1875,-124,534,-91
1247,YT,2021/09/17 03:59:59+00,716,15,9,0,,,,
1248,ON,2022/02/11 05:00:00+00,1067511,19541,12040,329,1829,-805,435,-82
1249,AB,2021/11/12 05:00:00+00,329030,3047,3171,29,554,-106,110,-31
1250,CA,2021/09/17 03:59:59+00,1569210,31087,27370,200,2100,331,707,103
1251,PE,2022/02/11 05:00:00+00,9969,1205,13,1,11,1,1,0
1252,BC,2021/11/12 05:00:00+00,211750,3485,2257,56,384,-57,124,-5
1253,AB,2021/09/24 03:59:59+00,288357,10799,2622,99,1061,150,243,28
1254,QC,2022/02/11 05:00:00+00,891951,16522,13617,197,2312,-229,173,-11
1255,MB,2021/11/12 05:00:00+00,65371,1162,1269,13,110,22,23,4
1256,BC,2021/09/24 03:59:59+00,182541,4587,1922,34,319,21,149,13
1257,SK,2022/02/11 05:00:00+00,123258,1742,1012,7,332,-31,31,-3
1258,NB,2021/11/12 05:00:00+00,7069,403,121,0,19,5,11,2
1259,MB,2021/09/24 03:59:59+00,60000,388,1207,3,34,-3,10,3
1260,YT,2022/02/11 05:00:00+00,3302,116,20,2,,,,
1261,NL,2021/11/12 05:00:00+00,2025,22,16,0,1,0,,
1262,NB,2021/09/24 03:59:59+00,3707,470,52,4,31,14,15,5
1263,CA,2022/02/11 05:00:00+00,3176244,67840,35332,795,7543,-1334,954,-110
1264,NS,2021/11/12 05:00:00+00,7815,265,102,1,10,1,1,0
1265,NL,2021/09/24 03:59:59+00,1654,99,7,0,2,2,,
1266,AB,2022/02/18 05:00:00+00,519970,5805,3830,89,1494,-72,116,-11
1267,NT,2021/11/12 05:00:00+00,2001,115,12,1,,,,
1268,NS,2021/09/24 03:59:59+00,6486,174,95,1,14,8,1,1
1269,BC,2022/02/18 05:00:00+00,343631,5046,2786,39,733,-113,113,-23
1270,NU,2021/11/12 05:00:00+00,674,0,4,0,,,,
1271,NT,2021/09/24 03:59:59+00,918,169,2,1,,,,
1272,ON,2021/11/12 05:00:00+00,605846,3759,9921,25,207,-18,130,1
1273,NU,2021/09/24 03:59:59+00,663,4,4,0,,,,
1274,PE,2021/11/12 05:00:00+00,324,4,0,0,0,0,0,0
1275,MB,2022/02/18 05:00:00+00,128486,2642,1649,30,302,-106,13,-14
1276,QC,2022/03/11 05:00:00+00,934622,10313,14154,138,1126,-255,65,-17
1277,AB,2021/12/31 05:00:00+00,357623,10918,3310,11,349,31,57,-7
1278,NL,2021/10/15 03:59:59+00,1881,33,13,2,9,-5,,
1279,ON,2021/09/24 03:59:59+00,582635,4587,9688,51,308,-28,193,-1
1280,PE,2021/09/24 03:59:59+00,293,23,0,0,0,0,0,0
1281,QC,2021/09/24 03:59:59+00,406429,4967,11349,31,298,36,91,-4
1282,SK,2021/09/24 03:59:59+00,64402,3337,663,26,276,43,61,11
1283,YT,2021/09/24 03:59:59+00,745,29,9,0,,,,
1284,CA,2021/09/24 03:59:59+00,1598843,29633,27620,250,2343,243,763,56
1285,AB,2021/10/01 03:59:59+00,299802,11445,2731,109,1066,5,263,20
1286,BC,2021/10/01 03:59:59+00,187694,5153,1973,51,328,9,138,-11
1287,MB,2021/10/01 03:59:59+00,60628,628,1211,4,60,26,14,4
1288,NB,2021/10/01 03:59:59+00,4272,565,60,8,41,10,15,0
1289,NL,2021/10/01 03:59:59+00,1788,134,10,3,7,5,,
1290,NS,2021/10/01 03:59:59+00,6715,229,97,2,11,-3,4,3
1291,NT,2021/10/01 03:59:59+00,1059,141,6,4,,,,
1292,NU,2021/10/01 03:59:59+00,664,1,4,0,,,,
1293,ON,2021/10/01 03:59:59+00,586817,4182,9743,55,278,-30,163,-30
1294,PE,2021/10/01 03:59:59+00,302,9,0,0,0,0,0,0
1295,QC,2021/10/01 03:59:59+00,410823,4394,11377,28,310,12,84,-7
1296,SK,2021/10/01 03:59:59+00,67810,3408,700,37,313,37,68,7
1297,YT,2021/10/01 03:59:59+00,758,13,9,0,,,,
1298,CA,2021/10/01 03:59:59+00,1629145,30302,27921,301,2414,71,749,-14
1299,AB,2021/10/08 03:59:59+00,308275,8473,2830,99,1101,35,250,-13
1300,BC,2021/10/08 03:59:59+00,192491,4797,2001,28,360,32,137,-1
1301,MB,2021/10/08 03:59:59+00,61385,757,1217,6,48,-12,9,-5
1302,NB,2021/10/08 03:59:59+00,4987,715,72,12,58,17,30,15
1303,NL,2021/10/08 03:59:59+00,1848,60,11,1,14,7,,
1304,NS,2021/10/08 03:59:59+00,6918,203,98,1,15,4,4,0
1305,NT,2021/10/08 03:59:59+00,1411,352,6,0,,,,
1306,NU,2021/10/08 03:59:59+00,666,2,4,0,,,,
1307,ON,2021/10/08 03:59:59+00,590677,3860,9786,43,271,-7,154,-9
1308,PE,2021/10/08 03:59:59+00,306,4,0,0,0,0,0,0
1309,QC,2021/10/08 03:59:59+00,414573,3750,11410,33,302,-8,86,2
1310,SK,2021/10/08 03:59:59+00,71034,3224,741,41,343,30,71,3
1311,YT,2021/10/08 03:59:59+00,796,38,10,1,,,,
1312,CA,2021/10/08 03:59:59+00,1655380,26235,28186,265,2512,98,741,-8
1313,AB,2021/10/15 03:59:59+00,314252,5977,2946,116,1000,-101,229,-21
1314,BC,2021/10/15 03:59:59+00,196433,3942,2055,54,367,7,152,15
1315,MB,2021/10/15 03:59:59+00,61987,602,1230,13,53,5,12,3
1316,NB,2021/10/15 03:59:59+00,5669,682,84,12,60,2,18,-12
1317,BC,2021/12/31 05:00:00+00,254849,19191,2423,9,220,28,73,2
1318,NS,2021/10/15 03:59:59+00,7077,159,98,0,14,-1,1,-3
1319,QC,2021/11/12 05:00:00+00,432991,4360,11535,24,205,-35,40,-17
1320,MB,2021/12/31 05:00:00+00,80096,6523,1392,22,148,58,27,9
1321,NT,2021/10/15 03:59:59+00,1638,227,9,3,,,,
1322,SK,2021/11/12 05:00:00+00,79334,931,891,28,180,-17,47,-2
1323,NB,2021/12/31 05:00:00+00,14272,2685,160,8,45,11,21,6
1324,NU,2021/10/15 03:59:59+00,671,5,4,0,,,,
1325,YT,2021/11/12 05:00:00+00,1181,164,11,1,,,,
1326,NL,2021/12/31 05:00:00+00,4155,1643,19,1,1,0,,
1327,ON,2021/10/15 03:59:59+00,593933,3256,9809,23,265,-6,163,9
1328,CA,2021/11/12 05:00:00+00,1745424,17717,29310,178,1670,-205,486,-48
1329,NS,2021/12/31 05:00:00+00,17745,4615,111,0,34,19,4,0
1330,PE,2021/10/15 03:59:59+00,312,6,0,0,0,0,0,0
1331,AB,2021/11/19 05:00:00+00,331626,2596,3211,40,496,-58,93,-17
1332,NT,2021/12/31 05:00:00+00,2229,139,12,0,,,,
1333,QC,2021/10/15 03:59:59+00,418508,3935,11437,27,301,-1,79,-7
1334,BC,2021/11/19 05:00:00+00,214636,2886,2293,36,358,-26,109,-15
1335,NU,2021/12/31 05:00:00+00,803,122,4,0,,,,
1336,SK,2021/10/15 03:59:59+00,73662,2628,773,32,339,-4,78,7
1337,MB,2021/11/19 05:00:00+00,66378,1007,1285,16,107,-3,20,-3
1338,ON,2021/12/31 05:00:00+00,756361,79437,10194,48,1144,636,205,41
1339,YT,2021/10/15 03:59:59+00,837,41,10,0,,,,
1340,NB,2021/11/19 05:00:00+00,7512,443,122,1,28,9,16,5
1341,PE,2021/12/31 05:00:00+00,1366,745,0,0,3,3,0,0
1342,CA,2021/10/15 03:59:59+00,1676873,21493,28468,282,2408,-104,732,-9
1343,NL,2021/11/19 05:00:00+00,2035,10,17,1,0,-1,,
1344,QC,2021/12/31 05:00:00+00,586607,75512,11711,53,939,466,138,47
1345,AB,2021/10/22 03:59:59+00,319176,4924,3026,80,889,-111,191,-38
1346,NS,2021/11/19 05:00:00+00,8012,197,105,3,15,5,7,6
1347,SK,2021/12/31 05:00:00+00,85188,2548,955,10,79,-8,12,-17
1348,BC,2021/10/22 03:59:59+00,200898,4465,2109,54,365,-2,142,-10
1349,NT,2021/11/19 05:00:00+00,2036,35,12,0,,,,
1350,YT,2021/12/31 05:00:00+00,1755,87,15,1,,,,
1351,MB,2021/10/22 03:59:59+00,62588,601,1235,5,59,6,17,5
1352,NU,2021/11/19 05:00:00+00,674,0,4,0,,,,
1353,CA,2021/12/31 05:00:00+00,2163062,204165,30306,163,2962,1244,537,81
1354,NB,2021/10/22 03:59:59+00,6072,403,106,22,50,-10,15,-3
1355,ON,2021/11/19 05:00:00+00,610222,4376,9959,38,269,62,128,-2
1356,AB,2022/01/07 05:00:00+00,395252,37629,3338,28,504,155,64,7
1357,NL,2021/10/22 03:59:59+00,1928,47,15,2,4,-5,,
1358,PE,2021/11/19 05:00:00+00,339,15,0,0,0,0,0,0
1359,BC,2022/01/07 05:00:00+00,276875,22026,2439,16,349,129,93,20
1360,NS,2021/10/22 03:59:59+00,7208,131,98,0,15,1,4,3
1361,QC,2021/11/19 05:00:00+00,437549,4558,11552,17,201,-4,45,5
1362,MB,2022/01/07 05:00:00+00,94850,14754,1408,16,257,109,33,6
1363,NT,2021/10/22 03:59:59+00,1786,148,9,0,,,,
1364,SK,2021/11/19 05:00:00+00,80025,691,908,17,157,-23,39,-8
1365,NB,2022/01/07 05:00:00+00,19857,5585,170,10,69,24,17,-4
1366,NU,2021/10/22 03:59:59+00,674,3,4,0,,,,
1367,YT,2021/11/19 05:00:00+00,1381,200,12,1,,,,
1368,NL,2022/01/07 05:00:00+00,7537,3382,21,2,4,3,,
1369,ON,2021/10/22 03:59:59+00,596772,2839,9839,30,261,-4,149,-14
1370,CA,2021/11/19 05:00:00+00,1762438,17014,29480,170,1631,-39,457,-29
1371,NS,2022/01/07 05:00:00+00,23943,6198,112,1,48,14,7,3
1372,PE,2021/10/22 03:59:59+00,315,3,0,0,0,0,0,0
1373,AB,2021/11/26 05:00:00+00,334203,2577,3235,24,455,-41,90,-3
1374,NT,2022/01/07 05:00:00+00,2801,572,12,0,,,,
1375,QC,2021/10/22 03:59:59+00,421791,3283,11466,29,260,-41,68,-11
1376,BC,2021/11/26 05:00:00+00,217099,2463,2322,29,291,-67,115,6
1377,NU,2022/01/07 05:00:00+00,977,174,4,0,,,,
1378,SK,2021/10/22 03:59:59+00,75842,2180,812,39,308,-31,80,2
1379,MB,2021/11/26 05:00:00+00,67420,1042,1305,20,83,-24,17,-3
1380,ON,2022/01/07 05:00:00+00,853270,96909,10315,121,2472,1328,338,133
1381,YT,2021/10/22 03:59:59+00,877,40,10,0,,,,
1382,NB,2021/11/26 05:00:00+00,8087,575,123,1,56,28,18,2
1383,PE,2022/01/07 05:00:00+00,2463,1097,0,0,2,-1,1,1
1384,CA,2021/10/22 03:59:59+00,1695940,19067,28729,261,2211,-197,666,-66
1385,AB,2021/10/29 03:59:59+00,322989,3813,3093,67,765,-124,180,-11
1386,BC,2021/10/29 03:59:59+00,204914,4016,2156,47,436,71,155,13
1387,MB,2021/10/29 03:59:59+00,63353,765,1246,11,60,1,20,3
1388,NB,2021/10/29 03:59:59+00,6380,308,114,8,28,-22,17,2
1389,NL,2021/10/29 03:59:59+00,1992,64,16,1,1,-3,,
1390,NS,2021/10/29 03:59:59+00,7354,146,100,2,10,-5,1,-3
1391,NT,2021/10/29 03:59:59+00,1863,77,11,2,,,,
1392,NU,2021/10/29 03:59:59+00,674,0,4,0,,,,
1393,ON,2021/10/29 03:59:59+00,599259,2487,9865,26,211,-50,130,-19
1394,PE,2021/10/29 03:59:59+00,317,2,0,0,0,0,0,0
1395,QC,2021/10/29 03:59:59+00,424802,3011,11491,25,250,-10,68,0
1396,SK,2021/10/29 03:59:59+00,77305,1463,846,34,238,-70,54,-26
1397,YT,2021/10/29 03:59:59+00,921,44,10,0,,,,
1398,CA,2021/10/29 03:59:59+00,1712136,16196,28952,223,1999,-212,625,-41
1399,AB,2021/11/05 03:59:59+00,325983,2994,3142,49,660,-105,141,-39
1400,BC,2021/11/05 03:59:59+00,208265,3351,2201,45,441,5,129,-26
1401,MB,2021/11/05 03:59:59+00,64209,856,1256,10,88,28,19,-1
